QA-ID,Reference Articles,RAG-recalled-articles,RAG-recalled-sim-scores
QA-01,[24],"[24, 73, 72, 45, 70, 30, 42, 31]","[0.8843, 0.8014, 0.6501, 0.6001, 0.543, 0.5036, 0.4448, 0.4431]"
QA-02,[24],"[24, 73, 72, 70, 45, 31, 42, 78]","[0.9877, 0.7623, 0.6755, 0.609, 0.4243, 0.395, 0.3885, 0.3879]"
QA-03,[32],"[32, 44, 31, 30, 47, 53, 45, 28]","[1.0, 0.5835, 0.5293, 0.5116, 0.4921, 0.3493, 0.3151, 0.3039]"
QA-04,[93],"[92, 90, 93, 69, 70, 96, 76, 62]","[0.9697, 0.8503, 0.5717, 0.5029, 0.4539, 0.3791, 0.3707, 0.357]"
QA-05,"[64,66]","[65, 66, 21, 67, 42, 64, 39, 138]","[1.0, 0.6781, 0.6214, 0.5134, 0.4425, 0.3242, 0.3224, 0.2924]"
QA-06,[54],"[73, 54, 45, 79, 72, 145, 143, 37]","[0.6756, 0.65, 0.5233, 0.5151, 0.4864, 0.3746, 0.3652, 0.3263]"
QA-07,[146],"[96, 145, 43, 41, 37, 90, 143, 47]","[0.7104, 0.7076, 0.7062, 0.6969, 0.694, 0.5041, 0.4721, 0.437]"
QA-08,[53],"[53, 51, 42, 52, 48, 54, 30, 31]","[1.0, 0.7631, 0.6297, 0.5897, 0.5181, 0.5018, 0.4458, 0.3288]"
QA-09,"[73,74]","[72, 73, 71, 42, 45, 70, 30, 44]","[0.9191, 0.8566, 0.7253, 0.7178, 0.696, 0.6888, 0.6632, 0.5668]"
QA-10,[31],"[30, 112, 31, 27, 28, 53, 47, 44]","[1.0, 0.7846, 0.7546, 0.6408, 0.6086, 0.5641, 0.5534, 0.4721]"
QA-11,[51],"[112, 30, 53, 31, 47, 44, 113, 42]","[0.9607, 0.9301, 0.8887, 0.8344, 0.6262, 0.6115, 0.6091, 0.5179]"
QA-12,"[115,44]","[30, 47, 44, 53, 31, 113, 42, 112]","[0.8287, 0.779, 0.7687, 0.5903, 0.5498, 0.5487, 0.5369, 0.5368]"
QA-13,[55],"[51, 53, 52, 73, 72, 42, 62, 45]","[0.9251, 0.9138, 0.8488, 0.75, 0.6664, 0.5283, 0.518, 0.511]"
QA-14,[55],"[51, 62, 53, 52, 54, 73, 55, 30]","[0.8708, 0.7851, 0.723, 0.6921, 0.4237, 0.3857, 0.3824, 0.3454]"
QA-15,[6],"[45, 46, 58, 148, 72, 73, 78, 11]","[0.6975, 0.6425, 0.5669, 0.5424, 0.5348, 0.5258, 0.4919, 0.416]"
QA-16,[44],"[44, 53, 28, 47, 48, 30, 31, 17]","[1.0, 0.5648, 0.5342, 0.4842, 0.4634, 0.4562, 0.4491, 0.3299]"
QA-17,,"[6, 87, 1, 120, 88, 110, 114, 117]","[0.7272, 0.5195, 0.519, 0.3928, 0.3916, 0.3657, 0.363, 0.3478]"
QA-18,,"[117, 120, 2, 6, 1, 4, 137, 3]","[0.8395, 0.7264, 0.6651, 0.5944, 0.5925, 0.5676, 0.4552, 0.4421]"
QA-19,,"[1, 137, 98, 4, 70, 3, 57, 67]","[0.9674, 0.5143, 0.4377, 0.4051, 0.4016, 0.3531, 0.3415, 0.3261]"
QA-20,,"[1, 82, 18, 54, 55, 110, 85, 67]","[0.65, 0.4081, 0.3831, 0.3794, 0.3461, 0.2967, 0.2876, 0.2443]"
QA-21,,"[1, 102, 120, 99, 6, 107, 9, 110]","[0.9608, 0.4522, 0.3887, 0.3716, 0.3652, 0.3512, 0.3511, 0.3457]"
QA-22,,"[138, 137, 114, 41, 6, 140, 5, 66]","[0.9831, 0.8549, 0.8069, 0.6491, 0.5026, 0.4903, 0.4264, 0.3342]"
QA-23,,"[55, 59, 62, 67, 51, 58, 56, 57]","[1.0, 0.2625, 0.2568, 0.2462, 0.2422, 0.2136, 0.2103, 0.1961]"
QA-24,,"[56, 57, 145, 55, 62, 58, 61, 17]","[1.0, 0.7258, 0.4226, 0.3065, 0.3036, 0.27, 0.2229, 0.2205]"
QA-25,,"[55, 73, 34, 58, 59, 60, 62, 72]","[0.8451, 0.7655, 0.6621, 0.5636, 0.5518, 0.5358, 0.5108, 0.4709]"
QA-26,,"[55, 51, 48, 41, 40, 1, 77, 82]","[0.8619, 0.6389, 0.5361, 0.4518, 0.4502, 0.3385, 0.3153, 0.2896]"
QA-27,,"[55, 59, 62, 56, 47, 51, 13, 144]","[0.8973, 0.6256, 0.5433, 0.5411, 0.4025, 0.3874, 0.3488, 0.3477]"
QA-28,,"[55, 66, 58, 67, 56, 62, 137, 74]","[0.828, 0.711, 0.457, 0.3879, 0.2811, 0.2462, 0.2417, 0.2046]"
QA-29,,"[55, 44, 72, 73, 145, 77, 28, 51]","[1.0, 0.8266, 0.614, 0.6028, 0.572, 0.547, 0.4467, 0.4414]"
QA-30,,"[55, 51, 52, 62, 53, 54, 48, 41]","[1.0, 0.8688, 0.6279, 0.5507, 0.5467, 0.519, 0.5129, 0.3864]"
QA-31,,"[21, 65, 64, 66, 67, 22, 25, 59]","[1.0, 0.4274, 0.3551, 0.3277, 0.2071, 0.1989, 0.1753, 0.17]"
QA-32,,"[65, 67, 21, 81, 70, 42, 64, 62]","[0.6981, 0.6858, 0.6742, 0.6555, 0.65, 0.5152, 0.4389, 0.4094]"
QA-33,,"[65, 21, 64, 22, 67, 81, 66, 58]","[0.931, 0.9237, 0.7346, 0.6737, 0.6408, 0.6368, 0.623, 0.5619]"
QA-34,,"[66, 57, 10, 28, 67, 41, 58, 82]","[0.9316, 0.8093, 0.5638, 0.5275, 0.526, 0.445, 0.4445, 0.4094]"
QA-35,,"[66, 67, 64, 21, 65, 44, 58, 137]","[0.809, 0.5529, 0.5157, 0.4689, 0.4307, 0.4253, 0.4003, 0.3881]"
QA-36,,"[67, 81, 70, 56, 55, 62, 77, 42]","[0.9402, 0.7644, 0.6697, 0.65, 0.6241, 0.6176, 0.4684, 0.4106]"
QA-37,,"[66, 67, 65, 21, 62, 64, 55, 82]","[0.8282, 0.6941, 0.6125, 0.608, 0.5885, 0.5383, 0.4115, 0.3988]"
QA-38,,"[66, 67, 57, 62, 44, 55, 65, 90]","[0.7959, 0.4825, 0.4582, 0.4155, 0.3965, 0.39, 0.3801, 0.321]"
QA-39,,"[67, 70, 68, 81, 72, 73, 21, 42]","[0.8468, 0.6669, 0.65, 0.5892, 0.4598, 0.4391, 0.4366, 0.3848]"
QA-40,,"[68, 70, 67, 66, 21, 64, 76, 65]","[0.9478, 0.8233, 0.7238, 0.5853, 0.5334, 0.5103, 0.4904, 0.4006]"
QA-41,,"[66, 67, 145, 73, 92, 71, 28, 79]","[0.8607, 0.6337, 0.6009, 0.5617, 0.4925, 0.4529, 0.4413, 0.438]"
QA-42,,"[20, 19, 22, 65, 64, 66, 85, 10]","[0.9028, 0.8087, 0.49, 0.374, 0.3648, 0.3076, 0.2971, 0.2969]"
QA-44,,"[20, 23, 65, 64, 66, 22, 10, 7]","[0.9661, 0.4117, 0.4025, 0.3847, 0.3782, 0.3613, 0.3596, 0.319]"
QA-45,,"[20, 25, 21, 66, 65, 64, 22, 19]","[0.8926, 0.7963, 0.5463, 0.478, 0.4088, 0.4083, 0.3834, 0.3474]"
QA-46,,"[20, 82, 66, 10, 25, 83, 57, 89]","[0.7831, 0.7042, 0.6314, 0.5411, 0.5181, 0.4995, 0.4728, 0.4641]"
QA-47,,"[15, 18, 16, 13, 110, 12, 49, 14]","[0.9533, 0.8586, 0.8209, 0.5779, 0.3344, 0.326, 0.3165, 0.3087]"
QA-48,,"[18, 16, 13, 15, 79, 12, 114, 112]","[0.8304, 0.8052, 0.7762, 0.485, 0.387, 0.3678, 0.3523, 0.3488]"
QA-49,,"[14, 18, 16, 13, 46, 50, 48, 15]","[1.0, 0.6597, 0.5627, 0.5286, 0.5106, 0.4982, 0.4956, 0.4578]"
QA-50,,"[18, 12, 16, 54, 74, 13, 14, 79]","[0.9867, 0.7113, 0.6086, 0.392, 0.3515, 0.3372, 0.3197, 0.3076]"
QA-51,,"[22, 23, 65, 64, 20, 66, 10, 19]","[1.0, 0.3925, 0.3918, 0.3245, 0.3123, 0.3092, 0.2839, 0.2814]"
QA-52,,"[22, 21, 23, 25, 65, 64, 27, 66]","[0.7896, 0.7269, 0.5544, 0.3025, 0.2917, 0.2704, 0.2503, 0.2018]"
QA-53,,"[23, 22, 10, 19, 5, 7, 65, 11]","[1.0, 0.4612, 0.4596, 0.4057, 0.3022, 0.292, 0.2796, 0.2752]"
QA-54,,"[23, 66, 22, 76, 25, 26, 10, 7]","[0.8926, 0.8139, 0.8072, 0.7411, 0.7316, 0.6993, 0.5126, 0.4553]"
QA-55,,"[32, 112, 18, 47, 28, 31, 74, 30]","[1.0, 0.4443, 0.3552, 0.3409, 0.3318, 0.2791, 0.2724, 0.2692]"
QA-56,,"[114, 41, 43, 44, 50, 33, 47, 45]","[0.8432, 0.7849, 0.7003, 0.6835, 0.671, 0.6706, 0.6133, 0.5826]"
QA-57,,"[44, 48, 14, 28, 46, 43, 30, 45]","[0.9046, 0.6429, 0.6078, 0.5922, 0.5561, 0.543, 0.5152, 0.5042]"
QA-58,,"[51, 53, 48, 52, 54, 41, 42, 62]","[1.0, 0.7886, 0.7554, 0.6599, 0.6281, 0.5905, 0.5876, 0.5331]"
QA-59,,"[53, 52, 48, 51, 47, 44, 42, 54]","[0.9247, 0.8156, 0.5422, 0.5225, 0.5202, 0.485, 0.4324, 0.4055]"
QA-60,,"[41, 51, 48, 52, 42, 53, 46, 54]","[0.9006, 0.69, 0.6444, 0.6274, 0.614, 0.5915, 0.5282, 0.5191]"
QA-61,,"[41, 48, 51, 52, 53, 54, 42, 46]","[1.0, 0.6866, 0.5776, 0.4633, 0.4617, 0.4589, 0.4377, 0.4255]"
QA-62,,"[41, 57, 89, 48, 10, 145, 40, 85]","[1.0, 0.4494, 0.4131, 0.359, 0.3441, 0.3012, 0.2962, 0.2894]"
QA-63,,"[41, 145, 54, 48, 121, 143, 94, 43]","[1.0, 0.5744, 0.4867, 0.4327, 0.4051, 0.3804, 0.364, 0.351]"
QA-64,,"[41, 46, 58, 43, 45, 42, 28, 59]","[0.8516, 0.5216, 0.4662, 0.4333, 0.4248, 0.4043, 0.3498, 0.3196]"
QA-65,,"[18, 82, 33, 50, 54, 85, 61, 67]","[0.682, 0.5452, 0.5388, 0.5274, 0.5058, 0.5009, 0.3002, 0.2885]"
QA-66,,"[82, 54, 41, 67, 35, 85, 71, 18]","[0.9096, 0.5283, 0.5149, 0.4972, 0.4437, 0.4335, 0.4143, 0.4098]"
QA-67,,"[28, 58, 66, 41, 44, 47, 6, 34]","[0.8557, 0.7692, 0.7391, 0.6627, 0.6136, 0.5822, 0.4452, 0.4421]"
QA-68,,"[66, 33, 44, 58, 28, 41, 48, 43]","[0.7575, 0.7343, 0.6588, 0.61, 0.5486, 0.5322, 0.5059, 0.5032]"
QA-69,,"[41, 35, 44, 37, 48, 43, 137, 58]","[0.8896, 0.6585, 0.5183, 0.485, 0.481, 0.4327, 0.4325, 0.4228]"
QA-70,,"[35, 137, 41, 37, 140, 133, 114, 44]","[0.8796, 0.872, 0.7219, 0.5397, 0.4898, 0.4629, 0.4295, 0.4247]"
QA-71,,"[59, 40, 38, 55, 41, 44, 62, 57]","[0.9622, 0.6474, 0.5355, 0.4955, 0.371, 0.3664, 0.3546, 0.3482]"
QA-72,,"[55, 59, 62, 47, 40, 66, 41, 38]","[0.8757, 0.7217, 0.6308, 0.5914, 0.5389, 0.4901, 0.4407, 0.4096]"
QA-73,,"[55, 51, 70, 58, 40, 78, 62, 41]","[0.65, 0.5521, 0.5072, 0.4408, 0.4205, 0.3502, 0.3445, 0.3102]"
QA-74,,"[55, 62, 67, 59, 40, 82, 51, 57]","[0.9373, 0.7452, 0.7252, 0.6857, 0.4769, 0.4396, 0.4006, 0.3208]"
QA-75,,"[94, 92, 93, 41, 89, 85, 88, 90]","[0.9119, 0.7784, 0.7348, 0.7191, 0.6797, 0.5767, 0.4835, 0.4713]"
QA-76,,"[85, 86, 82, 96, 87, 90, 83, 95]","[0.8062, 0.7345, 0.6851, 0.555, 0.5454, 0.4745, 0.4321, 0.4268]"
QA-77,,"[94, 93, 47, 92, 90, 41, 145, 96]","[1.0, 0.564, 0.4852, 0.4057, 0.3617, 0.3367, 0.3035, 0.3021]"
QA-78,,"[96, 85, 69, 84, 94, 95, 92, 86]","[0.8748, 0.65, 0.6263, 0.5527, 0.4559, 0.4554, 0.4424, 0.4325]"
QA-79,,"[80, 82, 84, 83, 15, 85, 87, 86]","[0.9044, 0.8973, 0.8005, 0.7285, 0.65, 0.5846, 0.4771, 0.4721]"
QA-80,,"[82, 85, 90, 83, 86, 34, 59, 87]","[1.0, 0.4575, 0.3427, 0.3313, 0.2534, 0.2244, 0.2195, 0.2146]"
QA-81,,"[87, 85, 90, 89, 88, 82, 83, 92]","[1.0, 0.5892, 0.5886, 0.5652, 0.469, 0.4425, 0.3715, 0.3271]"
QA-82,,"[92, 90, 93, 96, 94, 85, 88, 87]","[0.9027, 0.8829, 0.8622, 0.6472, 0.6025, 0.4464, 0.4115, 0.4033]"
QA-83,,"[92, 70, 69, 90, 93, 96, 95, 49]","[0.9905, 0.6905, 0.5096, 0.4083, 0.3901, 0.3153, 0.3003, 0.2963]"
QA-84,,"[45, 49, 48, 44, 69, 43, 54, 14]","[0.9904, 0.805, 0.7258, 0.669, 0.5686, 0.5393, 0.481, 0.4785]"
QA-85,,"[89, 94, 83, 41, 85, 90, 82, 91]","[1.0, 0.5381, 0.4733, 0.4639, 0.4571, 0.4505, 0.4201, 0.4001]"
QA-86,,"[92, 93, 94, 96, 90, 69, 67, 59]","[1.0, 0.6427, 0.4833, 0.4833, 0.4342, 0.4178, 0.3794, 0.3726]"
QA-87,,"[93, 92, 90, 94, 96, 85, 69, 95]","[0.7869, 0.7738, 0.7448, 0.74, 0.7073, 0.5972, 0.5817, 0.5311]"
QA-88,,"[69, 70, 67, 76, 71, 6, 74, 92]","[0.8014, 0.7804, 0.5929, 0.4786, 0.4668, 0.3957, 0.3912, 0.3839]"
QA-89,,"[93, 94, 96, 92, 90, 47, 85, 88]","[1.0, 0.8071, 0.757, 0.7038, 0.6428, 0.5544, 0.5281, 0.5058]"
QA-90,,"[47, 44, 43, 48, 52, 41, 51, 32]","[0.9323, 0.6809, 0.6668, 0.6068, 0.518, 0.5177, 0.4291, 0.3928]"
QA-91,,"[89, 94, 90, 93, 96, 85, 82, 87]","[0.8084, 0.7433, 0.7114, 0.6637, 0.5927, 0.5753, 0.5344, 0.4959]"
QA-92,,"[145, 47, 94, 41, 43, 44, 114, 96]","[0.7322, 0.7059, 0.6143, 0.5357, 0.4852, 0.418, 0.3602, 0.3401]"
QA-93,,"[41, 44, 18, 53, 47, 145, 42, 62]","[0.8149, 0.809, 0.7281, 0.7021, 0.6143, 0.6101, 0.6052, 0.5863]"
QA-94,,"[70, 68, 76, 67, 69, 73, 71, 59]","[0.7421, 0.663, 0.65, 0.6091, 0.4688, 0.3699, 0.3368, 0.2958]"
QA-95,,"[70, 71, 77, 67, 75, 51, 68, 73]","[0.9787, 0.65, 0.4974, 0.3549, 0.301, 0.2965, 0.2889, 0.2829]"
QA-96,,"[71, 70, 69, 67, 76, 45, 68, 78]","[0.8004, 0.7653, 0.7636, 0.6696, 0.6649, 0.5537, 0.5238, 0.4644]"
QA-97,,"[71, 70, 73, 74, 78, 45, 58, 42]","[0.7257, 0.601, 0.563, 0.5576, 0.529, 0.5221, 0.4669, 0.4476]"
QA-98,,"[67, 62, 72, 70, 73, 77, 68, 57]","[0.65, 0.462, 0.4601, 0.3617, 0.2673, 0.2275, 0.2107, 0.2101]"
QA-99,,"[70, 71, 73, 72, 45, 42, 94, 77]","[0.7912, 0.7301, 0.7142, 0.5425, 0.5212, 0.4016, 0.397, 0.2636]"
QA-100,,"[73, 70, 71, 45, 72, 78, 58, 76]","[0.9239, 0.6376, 0.6335, 0.5691, 0.4875, 0.4289, 0.3344, 0.3177]"
QA-101,,"[70, 73, 71, 72, 78, 45, 43, 145]","[0.811, 0.8103, 0.7357, 0.5811, 0.5325, 0.5035, 0.422, 0.3707]"
QA-102,,"[70, 68, 71, 73, 72, 42, 51, 81]","[0.9203, 0.65, 0.6309, 0.4952, 0.4662, 0.4591, 0.375, 0.3673]"
QA-103,,"[76, 24, 70, 73, 75, 69, 25, 78]","[1.0, 0.3795, 0.3194, 0.2675, 0.2626, 0.237, 0.2154, 0.1957]"
QA-104,,"[75, 70, 76, 72, 71, 68, 44, 69]","[0.7471, 0.6467, 0.6411, 0.418, 0.3902, 0.3349, 0.2841, 0.2392]"
QA-105,,"[24, 76, 74, 25, 26, 70, 69, 43]","[1.0, 0.6495, 0.5894, 0.5466, 0.4589, 0.3489, 0.3168, 0.3037]"
QA-106,,"[24, 69, 70, 78, 76, 39, 74, 25]","[0.9989, 0.7134, 0.5603, 0.5573, 0.5517, 0.5033, 0.494, 0.4806]"
QA-107,,"[46, 48, 54, 43, 41, 45, 14, 44]","[1.0, 0.7375, 0.6943, 0.5576, 0.5384, 0.536, 0.5325, 0.5199]"
QA-108,,"[41, 51, 48, 52, 53, 42, 54, 32]","[0.9385, 0.7657, 0.6693, 0.6083, 0.5995, 0.5594, 0.4547, 0.383]"
QA-109,,"[51, 52, 53, 48, 54, 41, 62, 32]","[0.9909, 0.9273, 0.8199, 0.6941, 0.6674, 0.5725, 0.5085, 0.4982]"
QA-110,,"[53, 52, 51, 48, 41, 32, 54, 42]","[1.0, 0.9383, 0.7983, 0.6937, 0.6614, 0.5312, 0.3595, 0.3335]"
QA-111,,"[51, 52, 53, 50, 54, 48, 41, 33]","[0.8802, 0.7403, 0.6925, 0.6022, 0.5325, 0.5305, 0.4854, 0.4788]"
QA-112,,"[50, 49, 43, 48, 46, 14, 44, 61]","[0.9717, 0.766, 0.724, 0.6866, 0.6688, 0.6449, 0.6137, 0.5936]"
QA-113,,"[133, 9, 135, 106, 134, 10, 102, 104]","[1.0, 0.4846, 0.4703, 0.3876, 0.3644, 0.3321, 0.2743, 0.2687]"
QA-115,,"[135, 134, 133, 132, 141, 41, 139, 35]","[0.7921, 0.7827, 0.5073, 0.2642, 0.2587, 0.1938, 0.1176, 0.108]"
QA-116,,"[57, 8, 41, 10, 137, 44, 48, 9]","[0.8075, 0.7817, 0.6685, 0.6643, 0.5791, 0.496, 0.4903, 0.4361]"
QA-117,,"[35, 36, 137, 140, 41, 138, 37, 139]","[1.0, 0.5558, 0.4644, 0.4537, 0.4331, 0.425, 0.3642, 0.2326]"
QA-118,,"[139, 132, 134, 137, 140, 138, 141, 133]","[0.9806, 0.9582, 0.8634, 0.821, 0.6384, 0.5499, 0.5269, 0.4806]"
QA-119,,"[97, 98, 105, 120, 117, 104, 106, 6]","[0.9148, 0.7222, 0.5247, 0.3702, 0.3271, 0.2952, 0.2303, 0.2085]"
QA-120,,"[106, 97, 109, 119, 118, 98, 120, 105]","[0.7611, 0.7604, 0.7239, 0.6036, 0.5177, 0.475, 0.4747, 0.4646]"
QA-121,,"[103, 97, 23, 11, 98, 117, 105, 65]","[0.7825, 0.5684, 0.5001, 0.4074, 0.345, 0.3178, 0.3168, 0.2845]"
QA-122,,"[107, 1, 57, 109, 23, 46, 103, 104]","[0.7641, 0.65, 0.5403, 0.5302, 0.5194, 0.5079, 0.3719, 0.3638]"
QA-123,,"[120, 110, 112, 111, 114, 73, 116, 6]","[0.8031, 0.7673, 0.7513, 0.6851, 0.508, 0.4587, 0.4281, 0.4192]"
QA-124,,"[72, 130, 123, 121, 122, 145, 102, 111]","[0.6861, 0.6415, 0.6165, 0.5748, 0.5583, 0.4743, 0.4367, 0.3928]"
QA-125,,"[123, 122, 145, 124, 121, 33, 111, 109]","[0.9122, 0.6115, 0.4862, 0.4499, 0.4492, 0.4238, 0.3978, 0.3848]"
