No.,Question,Answer,Category
73,س 100/ ما ضوابط استحقاق التعويض عن إصابة العمل والمرض المهني؟,"ج/ يجب أن يثبت العامل علاقة العمل بينه وبين صاحب العمل وأن الإصابة وقعت أثناء وبسبب العمل أو في الطريق إليه ذهاباً أو إياباً، لا يكون العامل سبب حدوث الإصابة بتعمده أو بسلوكه الفاحش، وأن ينشأ عنها عجز لا يزيد عن %25 من العجز الكلي.
 أما إذا أصيب العامل بمرض من أمراض المهنة المحددة بقرارات الجهات المختصة فإذا ظهرت على العامل أعراض المرض المهني خلال سنة من تاريخ تركه العمل تنطبق عليه القواعد الخاصة بإصابات العمل. علماً بأنه يجب إثبات وقع الإصابة أو المرض المهني أثناء وبسبب العمل يقع على العامل، ويجوز إثباته بكافة طرق الإثبات.
 ويحق لصاحب العمل إثبات عكس ذلك أو إثبات سوء السلوك الفاحش للعامل في حالة كانت نسبة العجز أقل من %25.",التعويض عن إصابات العمل وأمراض المهنة
74,س 101/ كيف يتم تقدير الضرر والتعويض الذي يصيب العامل جراء إنهاء عقده قبل نهاية مدته؟,ج/ تقدير الضرر والتعويض الذي يصيب العامل من جراء إنهاء عقده قبل نهاية مدته من سلطة المحكمة (الموضوع) بغير معقب عليها من محكمة التمييز ما دامت التزمت في تقديرها الاعتبارات والضوابط التي أشارت إليها نصوص قانون العمل.,التعويض عن إصابات العمل وأمراض المهنة
75,س 102/ على من يقع عبء إثبات إصابة العامل أثناء العمل وبسببه؟,ج/ مجرد حصول إصابة العامل وبسببه يجعل للعامل الحق في طلب التعويض عن تلك الإصابة من صاحب العمل وللعامل أن يثبت حصول إصابته أثناء العمل وبسببه بكافة طرق الإثبات بما فيها البينة والقرائن ويجوز لصاحب العمل أيضاً أن يثبت بكافة طرق الإثبات أن العامل قد أحدث الإصابة بنفسه أو أنها حدثت نتيجة سوء سلوك فاحش منه ومقصود.,التعويض عن إصابات العمل وأمراض المهنة
76,س 103/ متى تتقادم دعوى التعويض ضد العامل عن إخلاله بالتزامه بعدم المنافسة؟,ج/ يجوز للعامل أن يتمسك بالتقادم في مواجهة صاحب العمل الذي يطالب بالتعويض عن إخلاله بالتزامه بعدم المنافسة إذا انقضى ثلاث سنوات من تاريخ علمه بالعمل غير المشروع ومرتكبه.,التعويض عن إصابات العمل وأمراض المهنة
77,س 104/ هل يحق لصاحب العمل مطالبة العامل بعد ثلاث سنوات برد ما دفع له بدون وجه حق من رواتب وأجور؟,ج/ لا يجوز لصاحب العمل مطالبة العامل برد ما دفع له بدون وجه حق من رواتب وأجور استلمها لأكثر من ثلاث سنوات من تركه الخدمة، ويحق للعامل أن يدفع بالتقادم لمرور أكثر من ثلاث سنوات.,التعويض عن إصابات العمل وأمراض المهنة
78,"س 105/ ما الإجازات الرسمية المقررة للعامل؟
 س 106/ هل يتقاضى عنها أجراً كاملاً؟
 س 107/ عدد أيامها؟","ج/ الإجازات الرسمية المقررة للعامل بأجر كامل هي:
  * أ- يوم رأس السنة الهجرية (يوم واحد)
  * ب- يوم الإسراء والمعراج (يوم واحد)
  * ج- عيد الفطر المبارك (ثلاثة أيام)
  * د- وقفة عيد الأضحى المبارك (يوم واحد)
  * هـ- عيد الأضحى المبارك (ثلاثة أيام)
  * و- يوم المولد النبوي الشريف (يوم واحد)
  * ز- اليوم الوطني 25 فبراير (يوم واحد)
  * ح- يوم التحرير 26 فبراير (يوم واحد)
  * ط- يوم رأس السنة الميلادية (يوم واحد)
 وإذا استدعت ظروف العمل تشغيل العامل في أحد هذه الأيام قرر له أجر مضاعف مع تعويضه بيوم بديل.
 كما أن الإجازات الرسمية مستقلة عن غيرها من الإجازات التي تستحق للعامل بأجر كامل، ومن ثم فلا تحتسب الإجازات الرسمية من الإجازات الرسمية أو المرضية وألزم القانون صاحب العمل بأن يدفع للعامل (أجراً مضاعفاً) عن عمله بأيام العطل الرسمية دون تفرقة بين عامل يومية أو مشاهرة لأن الراحة الأسبوعية أصبحت مدفوعة الأجر بنص قانون العمل الجديد لكافة العمال الخاضعين لأحكامه",الإجازات السنوية والمرضية
79,"س 108/ متى يستحق العامل إجازة سنوية وما مدتها؟
 س 109/ هل مدفوعة الأجر؟","ج/ يستحق العامل إجازة سنوية مدفوعة الأجر مدتها ثلاثون يوماً ولا يستحق العامل إجازة عن السنة الأولى إلا بعد قضاء تسعة أشهر على الأقل في العمل كما يستحق إجازة من كسور السنة نسبة ما قضاه منها في العمل ولو كانت في السنة الأولى من الخدمة.
 ويجب على صاحب العمل دفع مقابل الإجازة السنوية للعامل قبل القيام بها.",الإجازات السنوية والمرضية
80,"س 110/ من له الحق في تحديد موعد إجازة العامل؟
 س 111/ هل أيام الجُمع والإجازات الرسمية تخصم من مدة الإجازة؟",ج/ لصاحب العمل الحق في تحديد موعد الإجازة الرسمية كما يجوز له تجزئتها برضاء العامل بعد الأربعة عشر يوماً الأولى، فإذا تخللت فترة الإجازة أيام جمع أو إجازات رسمية فإنها تخصم من مدة الإجازة,الإجازات السنوية والمرضية
81,س 112/ هل يحق لصاحب العمل إرغام العامل للتنازل عن حقه في الإجازة السنوية؟,ج/ لا يحق لصاحب العمل إرغام العامل عن التنازل عن إجازته السنوية في هذا الأمر يتعلق بالنظام العام فلا يجوز التنازل عنه صراحة وضمنياً فإذا أخل صاحب العمل بهذا الالتزام فقد حق عليه تعويض العامل بما لم يحصل عليه من إجازات سنوية على مدار عمله مالم يسقط حقه فيه بالتقادم، ويقع على صاحب العمل عبء إثبات حصول العامل على إجازته أو تقاضي ما يقابلها نقداً وفي حالة عدم استعماله لها (الإجازات السنوية) بمناسبة انتهاء عمله بوفاته.,الإجازات السنوية والمرضية
82,س 113/ كيف يحسب المقابل النقدي لإجازة العامل؟,ج/ يحسب المقابل النقدي لإجازة العامل على الأجر الأساسي الثابت في عقد العمل أو الذي يتقاضاه العامل دون احتساب أي ميزة عينية أو غيرهما مما يحصل عليه العامل,الإجازات السنوية والمرضية
83,"س 114/ هل يسقط حق العامل بعدم حصوله على الإجازة السنوية؟
 س 115/ هل تترصد الإجازات السنوية وكيف يتم ذلك؟",ج/ إن حق العامل في الإجازة لا يسقط بعدم الحصول عليها وإنما تترصد الإجازة السنوية بحيث لا تزيد على إجازة سنتين، وله بعد موافقة صاحب العمل القيام بها دفعة واحدة، ويجوز موافقة الطرفين تجميع الإجازة السنوية لأكثر من سنتين. وللعامل الحق في الحصول على مقابل نقدي لأيام إجازاته السنوية المجتمعة في حالة انتهاء عقده.,الإجازات السنوية والمرضية
84,"س 116/ هل يحق للعامل التنازل عن إجازته السنوية؟
 س 117/ هل يحق له العمل لدى الغير أثناء الإجازة السنوية؟",ج/ لا يجوز للعامل أن يتنازل عن إجازته السنوية بعوض أو بغير عوض أو حرمانه منها كلياً أو جزئياً أثناء سريان عقد العمل أو أن يعمل لدى صاحب عمل آخر أثناء إجازته وإلا وجب عليه رد ما أخذه من أجر.,الإجازات السنوية والمرضية
85,"س 118/ هل يستطيع صاحب العمل منع العامل من الحصول على إجازة سنوية؟
 س 119/ هل يحق للعامل تعويضه عن ذلك؟",ج/ الإجازة السنوية حق مقرر للعامل طالما يعمل لدى صاحب العمل وأهمية هذه الإجازة وغايتها هي تمكين العامل للحصول على قسط من الوقت يبتعد فيها عن العمل فيخلد إلى الراحة من العناء والتعب ليجدد نشاطه ويسترد عافيته البدنية والذهنية وتواصله الاجتماعي مع أهله وذويه للعامل حق في إجازة سنوية مدفوعة الأجر، مدتها ثلاثون يوماً إلا بعد قضائه تسعة أشهر على الأقل عن السنة الأولى من خدمته ومن ثَم لا يستطيع صاحب العمل منع العامل من الحصول على الإجازة ولا يجوز للعامل التنازل عنها صراحة أو ضمناً لأن تلك الإجازة متعلقة بالنظام العام وصاحب العمل يلتزم بمنح العامل إجازته السنوية حتى ولو لم يطلبها..فإذا أخل صاحب العمل أو رفض فقد حق عليه تعويض العامل عما لم يحصل عليه في إجازته على مدار خدمته كلها كما أن الإجازة السنوية للعامل مستقلة عن غيرها من الإجازات.,الإجازات السنوية والمرضية
86,"س 120/ متى يستحق العامل إجازة سنوية؟
 س 121/ متى تسقط الإجازة السنوية؟
 س 122/ هل تخصم أيام العطل الرسمية والجمع من الإجازة الرسمية؟
 س 123/ متى يتم صرف راتب الإجازة السنوية؟",ج/ إن حق العامل في الإجازة السنوية متعلق بالنظام العام ومن ثم لا يجوز الاتفاق على حرمان العامل من الإجازة السنوية سواء كلياً أو جزئياً كما لا يجوز للعامل التنازل عنها بعوض أو بغير عوض أثناء سريان عقد العمل وأن حق العامل في الإجازة لا يسقط بعدم الحصول على الإجازة، وإنما تترصد الإجازات السنوية، وتصبح حقاً مالياً للعامل دون النظر إلى أسباب عدم الحصول عليها، كما أن حصول العامل على إجازة بدون مرتب أو إجازة مرضية خلال السنة لا يؤثر على حقه في الإجازة السنوية المقررة له وأن فترة الإجازة المرضية خلال الإجازة السنوية تخصم من الإجازة ويتم إضافة ما خصم إلى رصيد الإجازة السنوية للعامل وكذلك تخصم أيام الجمع أو الإجازات الرسمية من مدة الإجازة - كما يجب على صاحب العمل صرف راتب العامل عن فترة الإجازة السنوية قبل قيامه بها.,الإجازات السنوية والمرضية
87,س 124/ هل تمنح المرأة العاملة غير المسلمة المتوفى عنها زوجها إجازة وما مدتها؟,ج/ تمنح المرأة العاملة غير المسلمة المتوفى عنها زوجها إجازة لمدة واحد وعشرين يوماً (21 يوماً) مدفوعة الراتب,الإجازات السنوية والمرضية
88,س 125/ هل يحق للعامل المسلم الحصول على إجازة حج وما مدتها؟,"ج/ لما كان دين دولة الكويت الإسلام فقد أعطى القانون العامل المسلم حقاً في إجازة لأداء فريضة الحج لأنها تعد الركن الخامس من أركان الإسلام على أن يتوافر الشروط الآتية:
  * أن يمضي العامل فترة سنتين متصلتين في العمل، وقبل ذلك لا يحق له.
  * تمنح هذه الإجازة (إجازة الحج) مرة واحدة.
  * أن لا يكون قد أدى فريضة الحج من قبل.
  * مدة إجازة الحج (21 يوماً) مرة واحدة خلال خدمته بالعمل.
  * أن تكون هذه الإجازة مدفوعة الأجر.",الإجازات السنوية والمرضية
89,س 126/ ما مدة الإجازة التي تستحقها المرأة العاملة بسبب الوضع؟,ج/ تستحق المرأة العاملة الحامل إجازة مدفوعة الأجر مدة (70 يوماً) سبعين يوماً للوضع بشرط أن يتم الوضع خلالها.,الإجازات السنوية والمرضية
90,"س 127/ هل يحق للمرأة طلب إجازة من دون أجر لرعاية الطفولة؟
 س 128/ ما هي مدة هذه الإجازة؟",ج/ يجب على صاحب العمل منح المرأة العاملة بناءً على طلبها إجازة من دون أجر لا تزيد مدتها على أربعة أشهر لرعاية الطفولة.,الإجازات السنوية والمرضية
91,س 141/ ما الأسباب أو المبررات التي قد تمنع صاحب العمل من إنهاء خدمة العامل؟,ج/ لا يجوز لصاحب العمل إنهاء خدمة العامل من دون مبرر أو بسبب نشاطه النقابي أو التمتع بحقوقه المشروعة وفقاً لأحكام القانون مثل منع العامل من الحصول على إجازة من الإجازات كما لا يجوز إنهاء خدمة العامل بسبب الجنس أو الأصل أو الدين.,مكافأة نهاية الخدمة
92,س 142/ ما حالات فصل العامل دون حرمانه من مكافأة نهاية الخدمة؟,"ج/ لصاحب العمل فصل العامل في إحدى الحالات الآتية:
  * إذا حكم عليه نهائياً بجريمة ماسة بالشرف أو الأمانة أو الأخلاق.
  * إذا ارتكب عملاً مخلاً بالآداب العامة في مكان العمل.
  * إذا وقع منه اعتداء على أحد زملائه أو على صاحب العمل أو من ينوب عنه أثناء العمل أو بسببه.
  * إذا أخل أو قصر في أي من الالتزامات المفروضة عليه بنصوص العقد وأحكام هذا القانون.
  * إذا ثبتت مخالفته المتكررة لتعليمات صاحب العمل.",مكافأة نهاية الخدمة
93,س 143/ كيف يتم احتساب مكافأة نهاية الخدمة للعامل؟,ج/ يتم احتساب مكافأة نهاية الخدمة للعامل على أساس سنوات الخدمة دون النظر إلى مصدرها سواء كان عقد عمل أم إصدار عقود متعددة ما دامت هذه المدة قد استمرت دون انقطاع ولو تعددت عقود العمل المبرمة مع صاحب العمل وتعاقبت إلى إن انتهت خدمة العامل فعلاً,مكافأة نهاية الخدمة
94,س 144/ متى يتم حرمان العامل من نصف مكافأة نهاية الخدمة؟,ج/ يتم حرمان العامل من نصف مكافأة نهاية الخدمة إذا تجاوزت مدة خدمته خمس سنوات وترك العمل بمحض اختياره دون أن يكون في سلوك صاحب العمل إزاءه ما يجبره على ترك العمل بل تم ذلك باختيار العامل فإنه يستحق فقط نصف مكافأة نهاية الخدمة.,مكافأة نهاية الخدمة
95,"س 145/ في حالة تم بيع المنشأة إلى صاحب عمل آخر كيف أحصل على مكافأة نهاية الخدمة؟
 س 146/ في حالة الرغبة بالعمل مع صاحب العمل الجديد كيف تحتسب مكافأة نهاية الخدمة لي؟","ج/ إن العامل يستحق مكافأة نهاية الخدمة عن مدة خدمته متصلة ومهما كانت مدتها ولو تغير صاحب العمل.
 أما بالنسبة لسؤالك في حالة انتقال ملكية المنشأة إلى صاحب العمل الجديد استمرار عمله معه فإنه هو الذي يلتزم بمكافأة نهاية الخدمة عن مدة الخدمة كاملة سواء تلك التي كانت قبل انتقال الملكية إليه أم التي تلتها، وتحتسب مكافأة نهاية خدمة العامل، وسبب انتهاء العقد، وما إذا كان يستحق (كامل المكافأة أو الثلثين أو النصف) وبشرط ألا تزيد المكافأة عن أجر سنة واحدة.",في حالة إغلاق المنشأة
96,س 147/ هل يجوز إنهاء عقد العمل من جانب صاحب العمل بسبب إفلاسه أو إغلاق المنشأة؟,ج/ يجوز إنهاء عقد العمل من جانب صاحب العمل إذا صدر حكم نهائي بإشهار إفلاسه وإذا تم إغلاق المنشأة إغلاقاً نهائياً يرجع لسبب أجنبي لا يد لصاحب العمل فيه أما إذا كان الإغلاق بسبب إرادة صاحب العمل للتهرب من سداد مديونية الآخرين أو خشية اتخاذ إجراءات التنفيذ ضد المنشأة من جانب أحد الدائنين فيكون إنهاء عقد العمل غير مشروع، ويلتزم بتعويض العامل عن الإنهاء المبتسر للعقد المحدد المدة قبل انتهاء مدته ومقابل مهلة الإخطار في العقد غير المحدد المدة.,في حالة إغلاق المنشأة
97,"س 148/ ما صلاحيات مفتش الهيئة العامة للقوى العاملة؟
  * س 149/ هل لهم الحق في دخول الشركات والمؤسسات والمنشآت وغيرها وفي أي وقت؟",ج/ أعطى قانون العمل لمفتشي الهيئة العامة للقوى العاملة الحق في الضبطية القضائية حيث منح وزير الشؤون هؤلاء الموظفين حق الدخول إلى جميع أماكن العمل أثناء الدوام الرسمي لمباشرة مهامهم، وتشمل الاطلاع على السجلات والدفاتر وطلب البيانات ومنها المتعلقة بالعمل الإضافي والملفات التي لها علاقة بكل عامل من العمال والتأكد من لوائح الصحة والسلامة وأوقات العمل اليومية وفترات الراحة والإجازات وكذلك لوائح الجزاءات وغيرها.,في تفتيش العمل والعقوبات
98,"س 148/ ما صلاحيات مفتش الهيئة العامة للقوى العاملة؟
  * س 149/ هل لهم الحق في دخول الشركات والمؤسسات والمنشآت وغيرها وفي أي وقت؟",ج/ أعطى قانون العمل لمفتشي الهيئة العامة للقوى العاملة الحق في الضبطية القضائية حيث منح وزير الشؤون هؤلاء الموظفين حق الدخول إلى جميع أماكن العمل أثناء الدوام الرسمي لمباشرة مهامهم، وتشمل الاطلاع على السجلات والدفاتر وطلب البيانات ومنها المتعلقة بالعمل الإضافي والملفات التي لها علاقة بكل عامل من العمال والتأكد من لوائح الصحة والسلامة وأوقات العمل اليومية وفترات الراحة والإجازات وكذلك لوائح الجزاءات وغيرها.,في تفتيش العمل والعقوبات
99,س 150/ هل للموظفين المختصين بالتفتيش صلاحية تحرير المخالفات وإغلاق المحل؟,ج/ للموظفين المختصين بالتفتيش تحرير محاضر بالمخالفات التي يشاهدوها عند التفتيش مثل الحد من الصناعات الملوثة للبيئة والمثيرة للأتربة والأدخنة والانبعاثات الخطرة بأماكن العمل والحد من التلوث الصوتي والضوضاء، ولهم الحق بغلق المحل كلياً أو جزئياً أو وقف استعمال أي آلة أو الآلات معينة - كل ذلك من أجل إيجاد بيئة سليمة للعمال بغية الحفاظ على صحتهم وسلامتهم أثناء أداء عملهم وممارسة نشاطهم.,في تفتيش العمل والعقوبات
100,س 151/ ما العقوبات التي تقع على صاحب العمل الذي لا يقوم بإخطار الهيئة العامة للقوى العاملة باحتياجاته من العمالة؟,ج/ مع عدم الإخلال بأي عقوبة أشد ينص عليها أي قانون آخر يعاقب صاحب العمل بغرامة لا تتجاوز خمسمائة دينار كويتي إذا لم يقم صاحب العمل بإخطار الهيئة العامة للقوى العاملة باحتياجاته من العمالة سنوياً وبعدد العمالة الذين يعملون لديه على النماذج المعدة لذلك وفي حالة العود (تكرار المخالفة) خلال ثلاث سنوات من تاريخ الحكم النهائي تكون العقوبة مضاعفة لتصبح (ألف دينار كويتي).,في تفتيش العمل والعقوبات
101,س 152/ ما عقوبة صاحب العمل الذي لا يقوم بتعليق لوائح الجزاءات التي تقع من العمال ويحدد الجزاء لكل منهم؟,ج/ يجب على صاحب العمل أن يعلق في مكان ظاهر بمقر العمل لائحة الجزاءات التي يجوز توقيعها على العمال المخالفين، وتشمل تحديد المخالفات التي تقع من العمال، ويحدد الجزاء لكل منها، وأن تتضمن جزاءات متدرجة للمخالفات، وألا يوقع أكثر من جزاء واحد للمخالفة الواحدة وغيرها من الشروط، وفي حالة عدم قيام صاحب العمل بتعليق لوائح الجزاءات يعاقب بغرامة لا تتجاوز خمسمائة دينار كويتي، وتضاعف خلال (ثلاث سنوات) من تاريخ الحكم فيها في حالة العود.,في تفتيش العمل والعقوبات
102,س 153/ ما العقوبة في حالة منع صاحب العمل أو من ينوب عنه الموظفين المختصين المكلفين بمراقبة تنفيذ أحكام القانون والقرارات الوزارية عن أداء واجبهم؟,ج/ يعاقب صاحب العمل بغرامة لا تتجاوز ألف دينار كويتي كل من يمتنع الموظفين المكلفين بمراقبة تنفيذ أحكام القانون والقرارات الوزارية من أداء واجبهم أو يمتنع عن تقديم المستندات والبيانات اللازمة والمطلوبة من أصحاب الأعمال أو من ينوب عنه.,في تفتيش العمل والعقوبات
103,س 167/ هل يسمح قانون العمل لأصحاب الأعمال تكوين اتحادات لهم؟س 168/ هل يحق كذلك للعمال بأن يكونوا نقابات لهم؟,ج/ قانون العمل الكويتي الجديد سمح لأصحاب الأعمال تكوين اتحادات لهم ونقابات للعمال الكويتيين وليس نقابة واحدة، فمن حق كل مهنة أو حرفة أن تنشأ نقابة فرعية تحت رعاية نقابة عامة والنقابة عبارة عن تكتل دائم له تنظيمه الخاص به، يهدف إلى الدفاع عن المصالح المهنية لأعضائه والعمل على تحسين حالتهم المادية والاجتماعية وتمثيلهم في جميع الأمور الخاص بهم أمام الجهات الحكومية الرسمية وغير الرسمية في الداخل والخارج، وأجاز قانون العمل الكويتي لكل من أصحاب الأعمال والعمال الكويتيين الحق في تكوين الاتحادات والنقابات لذات الهدف السابق.,تكوين النقابات والاتحادات العمالية
104,س 169/ من له حق الانتساب في النقابة أو الاتحادات؟,ج/ حق الانتساب في النقابة محصوراً على العمال وأصحاب العمل الذين يحملون الجنسية الكويتية فلا يجوز حرمان أي شخص كويتي الانضمام إلى النقابة أو إجباره على الانضمام إليها، ويكون الهدف الرئيسي من الانتساب والتأسيس هو تمثيل المصالح المهنية لأعضائها والدفاع عنها ووجوب احترام جميع القوانين السارية في الدولة، وأن يمارسوا أعمالهم ونشاطهم في حدود الأهداف الواردة في النظام الأساسي للنقابة أو الاتحاد.,تكوين النقابات والاتحادات العمالية
105,س 170/ ما الأعمال المحظورة على النقابات والاتحادات من ممارستها؟,ج/ يحظر على النقابات والاتحادات الاشتغال بالمسائل السياسية والدينية أو المذهبية أو توظيف أموالها في مضاربات مالية أو عقارية أو غيرها من أنواع المضاربات وعدم قبول الهبات والوصايا إلا بعد علم الوزارة.,تكوين النقابات والاتحادات العمالية
106,س 171/ متى يحق لوزارة الشؤون الاجتماعية والعمل حل النقابات والمنظمات وكيف يتم ذلك؟,ج/ يجوز حل مجلس إدارة النقابة أو المنظمة عن طريق إقامة دعوى من وزارة الشؤون الاجتماعية والعمل أمام المحكمة الكلية لتصدر حكماً يحل مجلس الإدارة إذا قام بعمل يُعدّ مخالفاً لأحكام القانون والقوانين المتعلقة بحفظ النظام العام والآداب، ويجوز استئناف حكم المحكمة خلال ثلاثين يوماً (30) من تاريخ صدوره، وتمارس النقابة نشاطها حتى يفصل بالدعوى نهائياً.,تكوين النقابات والاتحادات العمالية
107,"172/ ما المقصود بعقد العمل الجماعي؟
 173/ ما خصائصه؟","ج/ يقصد بعقد العمل الجماعي: بأنه ذلك العقد الذي ينظم شروط العمل وظروفه، وينعقد بين نقابة عمالية أو أكثر أو اتحاد أو اتحادات عمالية من جهة وبين صاحب عمل واحد أو عدد من أصحاب أعمال أو اتحاد أصحاب الأعمال أو أكثر من جهة أخرى... ويعد عقد العمل الجماعي من أهم وسائل تنظيم العمل في الدول الصناعية وقليل الأهمية في الدول النامية والمشرع الكويتي نظم هذا العقد في قانون العمل.
 وخصائص عقد العمل الجماعي:
  * يجب أن يكون عقد العمل الجماعي مكتوباً.
  * يجب أن يكون عقد العمل الجماعي موقعاً من العامل.
  * يجب أن يعرض عقد العمل الجماعي على الجمعية العمومية.
  * أن يكون عقد العمل الجماعي محدد المدة، على ألا تزيد مدته على ثلاث سنوات.
  * في حالة انتهاء مدة عقد العمل الجماعي وعدم رغبته في التجديد أن يخطر الطرف الآخر وزارة الشئون (الهيئة العامة للقوى العاملة) كتابة قبل ثلاثة أشهر على الأقل من تاريخ انتهاء العقد.
  * يجب تسجيل عقد العمل الجماعي لدى (وزارة الشئون حالياً) (الهيئة العامة للقوى العاملة) ونشر ملخصه في الجريدة الرسمية وللوزارة حق الاعتراض على الشروط التي تراها مخالفة للقانون وللطرفين تعديل العقد خلال خمسة عشر يوماً من تاريخ استلام الاعتراض وإلا اعتبر طلب التسجيل كأن لم يكن.",المنازعة الجماعية وعقد العمل الجماعي
108,"174/ ما المنازعات الجماعية؟
 175/ ما هي الشروط التي يجب أن تتوافر في المنازعات الجماعية؟","ج/ المنازعات الجماعية: هي منازعات تنشأ بين واحد أو أكثر من أصحاب العمل وجميع عماله أو فريق منهم بسبب العمل أو بسبب شروط العمل.
 أما الشروط فهي:
  * أن تكون المنازعة بين أشخاص (مجموعة من العمال) أياً كان شكل هذه المجموعة ولم يحدد المشرع عدد معين من العمال، وأن يكون النزاع متعلقاً بالعمل أو شروطه وتشمل الأجور، وساعات العمل الإضافية، والفصل من الخدمة، ومدة الإجازات وغيرها.",المنازعة الجماعية وعقد العمل الجماعي
109,176/ كيف يتم حل المنازعات الجماعية التي تنشأ بين صاحب العمل أو من يمثله وبين العمال أو من يمثلهم؟,ج/ حرص قانون العمل الكويتي على وجود مناخ مستقر في علاقات العمل سواء كانت على مستوى المنشأة أو الصناعة أو النشاط المتماثل من خلال فض النزاع وإزالة أسبابه في وقت قصير كما أنه يقلل من الالتجاء إلى الخصومة القضائية، ويهدف إلى تقليص عدد القضايا المطروحة على القضاء، لذلك أوجب على الطرفين المتنازعين اللجوء إلى المفاوضة المباشرة بين صاحب العمل أو من يمثله وبين العمال أو من يمثلهم وللوزارة إيفاد مندوب عنها لحضور هذه المفاوضات بصفة مراقب، فإذا تم التوصل إلى حل بين طرفي النزاع إلى اتفاق يتم تسجيل هذا الاتفاق لدى الوزارة (الهيئة العامة للقوى العاملة) خلال خمسة عشر يوماً بحيث يتوافر الضمان اللازم لتنفيذ نصوص الاتفاق.,المنازعة الجماعية وعقد العمل الجماعي