#,case_text,Answer,Source,Articles
1,انا امرأة حامل ولدت أثناء الاجازة السنوية وعند انتهاء عقد عملي قمت بمطالبة جهة العمل بمقابل مادي عن إجازة الوضع التي لم اخذها لكن جهة العمل رفضت بحجة اني لم أطالب بها قبل انتهاء عقد العمل وبالتالي أُعتبر تنازلت عنها! ممكن أن تعطيني الرأي القانوني؟,"من المقرر - في قضاء هذه المحكمة – أن النص في المادة ٢٤ من القانون رقم 6 لسنة ۲۰۱۰ بشأن العمل في القطاع الأهلي على أن "" تستحق المرأة العاملة الحامل كامل إجازة مدفوعة الأجر لا تحسب من إجازاتها الأخرى لمدة سبعين يوماً للوضع بشرط أن يتم الوضع خلالها "" ومؤدي ذلك أن العاملة تستحق إجازة مدفوعة الأجر لمدة سبعين يوماً شريطة أن تتم عملية الوضع خلالها ولا يدخل خلالها الاجازة السنوية ، وأن حصولها على الاجازة السنوية لا يسقط حقها في إجازة الوضع مدفوعة الأجر ، وأنه بانتهاء عقد العمل تصبح حقوق العامل الناشئة عنه مستحقه الأداء قبل صاحب العمل وللعامل مطالبته بها دون تفريق بين حق وأخر ، لما كان ذلك ، وإذ خلت أوراق الدعوى مما يفيد أداء المطعون ضدها هذا المبلغ للطاعنة فإنه يتعين القضاء به دون النظر إلى ما ساقة الحكم المطعون فيه من أنه لم يسبق المطالبة بأدائه خلال علاقة العمل ومن ثم لا يجوز طلبه بعد انتهاء علاقة العمل ، إذ أن سكوتها دون طلبه لا يُعد نزولاً عنه ولا يسقط الحق فيه طالما أنها طالبت به عند نهاية عقدها ، فضلاً عن أن حقها في الإجازة يتعلق بالنظام العام فلا يجوز لها التنازل عنه صراحة أو ضمناً",المصدر: الحكم رقم 1014 لسنة 2017م الصادر بتاريخ 17/05/2023,[24]
2,انا امرأة حامل ولدت أثناء الاجازة السنوية وعند انتهاء عقد عملي قمت بمطالبة جهة العمل بمقابل مادي عن إجازة الوضع التي لم اخذها لكن جهة العمل رفضت بحجة اني أصلا ولدت اثناء اجازتي السنوية. فهل أستحق المقابل المادي لإجازة الوضع أم لا؟,"من المقرر - في قضاء هذه المحكمة – أن النص في المادة ٢٤ من القانون رقم 6 لسنة ۲۰۱۰ بشأن العمل في القطاع الأهلي على أن "" تستحق المرأة العاملة الحامل كامل إجازة مدفوعة الأجر لا تحسب من إجازاتها الأخرى لمدة سبعين يوماً للوضع بشرط أن يتم الوضع خلالها "" ومؤدي ذلك أن العاملة تستحق إجازة مدفوعة الأجر لمدة سبعين يوماً شريطة أن تتم عملية الوضع خلالها ولا يدخل خلالها الاجازة السنوية ، وأن حصولها على الاجازة السنوية لا يسقط حقها في إجازة الوضع مدفوعة الأجر ، وأنه بانتهاء عقد العمل تصبح حقوق العامل الناشئة عنه مستحقه الأداء قبل صاحب العمل وللعامل مطالبته بها دون تفريق بين حق وأخر ، لما كان ذلك ، وإذ خلت أوراق الدعوى مما يفيد أداء المطعون ضدها هذا المبلغ للطاعنة فإنه يتعين القضاء به دون النظر إلى ما ساقة الحكم المطعون فيه من أنه لم يسبق المطالبة بأدائه خلال علاقة العمل ومن ثم لا يجوز طلبه بعد انتهاء علاقة العمل ، إذ أن سكوتها دون طلبه لا يُعد نزولاً عنه ولا يسقط الحق فيه طالما أنها طالبت به عند نهاية عقدها ، فضلاً عن أن حقها في الإجازة يتعلق بالنظام العام فلا يجوز لها التنازل عنه صراحة أو ضمناً",المصدر: الحكم رقم 1014 لسنة 2017م الصادر بتاريخ 17/05/2023,[24]
3,اتفقت مع شخص للعمل لدى شركتنا وقبل مرور 100 يوم من بداية الاتفاق قمنا بإنهاء عقد العمل دون اخطار باعتبار انه في فترة تجربة. الموظف يطالبنا ببدل إنذار لأن ان العقد لم يتضمن فترة تجربة ولكن نرى ان فترة التجربة مفترضة في كل عقد عمل حتى لو لم تذكر صراحة في العقد فهل رأينا صحيح؟,أن المقرر في قضاء هذه المحكمة - أن المادة رقم ۳۲ من قانون العمل الصادر بالمرسوم بالقانون رقم 6 لسنة ۲۰۱۰ بشأن العمل في القطاع الأهلي تضمنت وضع حدا لممارسة رب العمل في وضع العامل تحت الاختبار فحددت مدة لا تزيد على مائة يوم لذلك، وأن  هذه المدة لا يفترض وجودها في كل عقد بل يجب النص عليها صراحة في عقد الاستخدام، وأنه على الخصم سواء كان مدعياً أو مدعى عليه عبء إقامة الدليل على الواقعة التي يدعيها، لما كان ذلك، وكان الثابت في الأوراق على نحو ما حصله الحكم المطعون فيه-أن عقد العمل بين الطاعن والمطعون ضده عقد شفوي غير مكتوب ومن ثم فإنه على المطعون ضده - وقد تمسك بمدعاه بأن فصله للطاعن كان خلال فترة التجربة المنصوص عليها في المادة ۳۲ من القانون سالف البيان - عبء إقامة الدليل على أن اتفاقهما موضوع عقد العمل تضمن تحديدا لفترة اختبار يجوز فيها انهاء علاقة العمل، ولا يكفيه الاعتصام بحكم هذه المادة مجرداً من الدليل,المصدر: الحكم رقم 2189 لسنة 2018م الصادر بتاريخ 23/01/2022م,[32]
4,"انا اعمل لدى شركة وحدثت لي إصابة اثناء العمل  وبسببها بتاريخ 3/2/2010  وكنت اتلقى العلاج في المستشفى على مدى عدة اشهر وقد تقرير طبي من وزارة الصحة في تاريخ 12/10/2010 يثبت وجود عجز دائم بنسبة 15% من قدرة الجسم. الشركة منحتني أسبوع واحد فقط إجازة مرضية، ولم تمنحني اجري خلال كامل فترة العلاج فهل لي الحق في المطالبة باجري خلال فترة العلاج؟
وكيف يتم حسابها؟",من المقرر – في قضاء هذه المحكمة – أن النص في المادة 93 من القانون رقم 6 لسنة 2010 ، يدل على أن المشرع ألزم صاحب العمل بأن يدفع للعامل المصاب كامل أجره طوال فترة العلاج التي يحددها الطبيب مادامت لم تزد فترة العلاج عن ستة أشهر ، فإن زادت عن تلك المدة فإنه يلتزم بأداء نصف الأجر فقط حتى يتم شفاء العامل أو تثبت عاهته أو يتوفى ، ومن ثم فإن الفترة التي يستلزمها علاج إصابة العامل من وقت حدوثها إلى أن يبرأ من إصابته أو يثبت عاهته بسببها أو وفاته تعتبر إجازة مرضية تحسب ضمن مدة خدمته....  لما كان ذلك ، وكان الثابت بالأوراق – وبلا خلاف بين الخصوم – وجود علاقة عمل بين الطاعن والشركة المطعون ضدها الأولى ، وأن إصابة الطاعن حدثت أثناء العمل وبسببه ، وأن تاريخ الإصابة كان في يوم 3/2/2010 وثبتت عاهته بتقرير إدارة الصحة المهنية بوزارة الصحة والتي قررت بتخلف عجزاً إصابياً دائماً له بنسبه 15% وإذ كان هذا التقرير صدر بتاريخ 12/10/2010 ، ومن ثم يكون هذا التاريخ هو الذي ينتهى عند حساب الأجور خلال فترة العلاج للطاعن  .. ولما تقدم فإنه طبقاً لنص المادة 93 من القانون رقم 6 لسنة 2010 أن المشرع ألزم صاحب العمل بأن يدفع للعامل المصاب كامل أجرة طوال فترة العلاج مادامت لم تزد عن ستة أشهر ، فإن زادت عن تلك المدة يلتزم بأداء نصف الأجر فقط حتى يتم الشفاء أو ثبوت عاهة العامل ، ولما كان ذلك ، وكان الثابت من الأوراق أن إصابة الطاعن – العامل – حدثت بتاريخ 3/2/2010 ، وأن هذه الإصابة تخلف عنها عاهة وهي عجزاً إصابياً دائماً له بنسبة 15% طبقاً للتقرير الطبي الصادر بتاريخ 12/10/2010 ، ومن ثم فإن حساب أجر فترة العلاج للطاعن يبدأ يوم حدوث الإصابة بتاريخ 3/2/2010 وينتهي بتاريخ 12/10/2010 عند ثبوت عاهته ، ستة أشهر منها بأجر كامل وباقي المدة بنصف أجر طبقاً للمادة 93 سالفة البيان,"المصدر: الحكم رقم 65,64 لسنة 2015م الصادر بتاريخ 15/02/2023",[93]
5,كنت موظف في شركة واعمل لمدة ثماني ساعات متواصلة في اليوم دون إعطائي فتره راحة بالمخالفة لنص المادة 65 من القانون رقم 6لسنة 2010 في شأن العمل في القطاع الأهلي من عدم جواز تشغيل العامل اكثر من خمس ساعات متصلة دون أن يعقبها فترة راحة لا تقل عن ساعة ولا تحسب ضمن فترات ساعات العمل وبالتالي هل يحق لي المطالبة بمقابل العمل الإضافي بسبب عملي لمدة 8 ساعات متواصلة دون فترة راحة؟,"من المقرر في قضاء هذه المحكمة أن النص في المادة 64 من القانون رقم 6 لسنة 2010 في شأن العمل في القطاع الأهلي- على أن ""مع عدم الاخلال بأحكام المادة 21 من هذا القانون لا يجوز تشغيل العامل اكثر من ثماني وأربعين ساعة اسبوعياً أو ثماني ساعات يومياً إلا في الحالات المنصوص عليها في هذا القانون...."" والنص في المادة 66 على أن ""مع عدم الاخلال بأحكام المادتين 21، 64 من هذا القانون يجوز بأمر كتابي من صاحب العمل تشغيل العامل فترة إضافية إذا كان ذلك لمنع وقوع حادث خطير أو لإصلاح ما نشأ عنه أو تفادي خسارة محققه أو مواجهة أعمال تزيد على القدر اليومي ولا يجوز أن تزيد ساعات العمل الإضافي عن ساعتين في اليوم وبحد أقصي مائه وثمانين ساعة سنوياً، كما لا يجوز أن يزيد فترات العمل الإضافي عن ثلاثة أيام اسبوعياً وتسعين يوماً في السنة، ولا يحول ذلك دون حق العامل في إثبات تكليف صاحب العمل له بالعمل الإضافي فترة إضافية بكافة طرق الإثبات أو بحق العامل في الحصول على أجرة عن فترة العمل الإضافي يزيد على أجرة العادي في الفترة المماثلة بمقدر 25% ....""  مفاده أن المشرع خول صاحب العمل رخصة تشغيل العامل ساعات عمل إضافيه وفي أيام الراحة الأسبوعية والإجازات الرسيمة في الحالات وبالشروط الواردة بتلك المواد وذلك مقابل إلتزامه بدفع أجر خاص عن هذا العمل الإضافي، وإن مناط استحقاق العامل أجراً عن ساعات العمل الإضافية هو أن يكون قد اشتعل فعلاً وقتاً يزيد عن الحد الأقصى المقرر قانوناً لساعات العمل بتكليف من صاحب العمل ويحق للعامل أن يثبت تكليف رب العمل له بالعمل الإضافي بكافة طرق الاثبات، وأن فترات الراحة التي يحصل عليها العامل لا تحتسب ضمن ساعات العمل اليومي، كما أن من المقرر أن محكمة الموضوع لها سلطة تحصيل فهم الواقع في الدعوى وتقدير الأدلة والقرائن والمستندات المطروحة عليها وموازنة بعضها بالبعض الأخر والأخذ بما تطمئن إليه منها وإطراح ما عداه ولو كان محتملاً متي أقامت قضائها على أسباب سائغة لها معينها من الأوراق. لما كان ذلك وكان الثابت من إقرار الطاعن بصحيفة الطعن ومذكراته المقدمة للمحكمة أنه كان يعمل ثماني ساعات وهو الحد المصرح به طبقاً لقانون العمل الأهلي بنص المادتين 64، 65 منه ولم يقل بأنه عمل ساعات أكثر من ذلك أما كونة كان يعمل مدة الثماني ساعات متصلة دون حصول على ساعة راحة كما نص القانون فهو أمر لا يمنحه الحق في أن يتقاضى أجر ساعة كعمل إضافي بإعتبار أن ساعات الراحة لا تحسب ضمن ساعات العمل اليومي","المصدر: الحكم رقم 1777,1571 لسنة 2019م الصادر بتاريخ 18/05/2022م","[64,66]"
6,كنت أعمل لدى شركة وعند انتهاء عملي طالبتها بإرجاع جواز السفر لكنها رفضت. فعلى أي سند قانوني يمكنني مطالبتها بإرجاع جواز السفر؟,"ولما كان النص في المادة 54 من قانون رقم 6 لسنة 2010 بشأن العمل في القطاع الأهلي على أن "" يمنح العامل شهادة نهاية الخدمة ..... ، ويرد إليه ما يكون قد أودعه لدى صاحب العمل من أوراق أو شهادات أو أدوات "" ، مؤداه التزام صاحب العمل بأن يرد إلى العامل بعد انتهاء علاقة العمل بينهما الأشياء المبينة بالمادة المذكورة والتي كان قد تسلمها من العامل أو حازها بمناسبة علاقة العمل ، وكان لفظ ""الأوراق"" قد ورد عاماً بغير تخصيص ومن ثم يندرج فيه أي مستندات أو وثائق أو غير ومنها جواز السفر إذا سلمه العامل لصاحب العمل لأي سبب ، وبالتالي فإن احتجازه يعتبر إخلالاً من جانبه بالتزام ناشئ عن علاقة العمل ",المصدر: الحكم رقم 212 لسنة 2023م الصادر بتاريخ 14/06/2023م,[54]
7,كنت أعمل لدى شركة وعند انتهاء عملي طالبتها بإرجاع جواز السفر لكنها رفضت مما ترتب عليها وقوع أضرار علي فرفعت مباشرة دعوى على الشركة لمطالبتها بإرجاع جوزا السفر وتعويضي عن الأضرار الناجمة عن حبسه. ما هو الحكم القضائي الراجح في هذه الدعوى؟,لما كان ذلك ، وكان مفاد نص المادة 146 من القانون رقم 6 لسنة 2010 بشأن العمل في القطاع الأهلي أن تقديم الطلب من العامل إلى الوزارة المختصة هو الإجراء الوحيد الذي أوجبه القانون عليه وأنه المدخل القانوني الذي إختص به الشارع هذا النوع من الدعاوى المتعلقة بالمنازعات العمالية لاعتبارات قدرها ورتب عليها سلسلة من الإجراءات التنظيمية التي ناط بوزارة الشئون الاجتماعية والعمل وإدارة كتاب المحكمة المختصة حتى المرحلة التي يعرض فيها النزاع على المحكمة ، وأن هذا الإجراء يُعدّ من النظام العام لتعلقه بإجراءات التقاضي وحسن سير العدالة ويترتب على عدم اتخاذه من قبل العامل أن تكون دعواه غير مقبولة ، لما كان ذلك ، وكان البين من الأوراق أن المطعون ضده – العامل – أقام دعواه ابتداءً بطلب الحكم بإلزام الشركة المطعون ضدها – رب العمل – بالتعويض عن الأضرار المترتبة على احتجازها جواز سفره المسلم إليها عند قيام علاقة العمل بينهما ، ومن ثم تكون دعوى المطعون ضده على هذا النحو ناشئة عن علاقة العمل التي كانت تربطه بالشركة الطاعنة ولا تستند إلى أحكام المسئولية التقصيرية ، وبالتالي يصدق عليها وصف المنازعة العمالية التي تختص بنظرها – دون غيرها – نوعياً الدائرة العمالية بالمحكمة الكلية ، وكان المطعون ضده أقام دعواه بإيداع صحيفتها إدارة كتاب المحكمة التجارية الكلية ودون أن يسبقها بتقديم طلب إلى إدارة العمل المختصة وفقاً للمادة 146 سالفة البيان ، فإن دعواه تكون قد رفعت بغير الطريق الذي رسمه القانون بما تكون معه غير مقبولة,المصدر: الحكم رقم 212 لسنة 2023م الصادر بتاريخ 14/06/2023م,[146]
8,موظف كان يعمل لدى شركتنا لمدة 6 سنوات بعقد غير محدد المدة ثم استقال ويطالبنا بمكافأة نهاية الخدمة رغم انه هو الذي طلب الاستقالة. فهل يستحق مكافأة نهائية خدمة؟,أن النص في المادة 53 من القانون 6 لسنة 2010 بشأن العمل في القطاع الأهلي على أن يستحق العامل نصف مكافأة نهاية الخدمة المنصوص عليها في المادة (51) إذا قام بإنهاء العقد غير محدد المدة من جانبه وكانت مدة خدمته لا تقل عن ثلاث سنوات ولم تبلغ خمس سنوات، فإذا بلغت مدة خدمته خمس سنوات ولم تبلغ عشر سنوات استحق ثلثي المكافأة، وإذا بلغت مدة خدمته عشر سنوات يستحق المكافأة كاملة، يدل وعلى ما جاء بالمذكرة الإيضاحية – على أن المشرع حدد أحوال الاستحقاق الجزئي لمكافأة نهاية الخدمة لدى استقالة العامل بعقد غير محدد المدة فجعل استحقاقه لها بواقع النصف إذا كانت مدة خدمته لا تقل عن ثلاث سنوات ولم تبلغ خمس سنوات، فإذا أتم السنوات الخمس دون أن يكمل العشر استحق ثلثيها فقط وإذا أتم العشر سنوات استحق المكافأة كاملة، لما كان ما تقدم و كان البين من حكم أول درجة أنه قضى للمطعون ضده بمكافأة نهاية الخدمة وفقاً لما جاء بتقرير الخبير من أن المطعون ضده ترك العمل بتقديمه استقالته وكانت مدة خدمته أكثر من خمس سنوات ولم تبلغ العشر سنوات ومن ثم يستحق ثلثي مكافأة نهاية الخدمة,المصدر: الحكم رقم 523 لسنة  2020 بتاريخ 2021/05/26,[53]
9,تم الاتفاق مع موظف لدينا في عقد العمل على ان تكون اجازته السنوية 15 يوم، والان عند تسويه مستحقاته في نهاية العقد يطالبنا بمقابل اجازات إضافية فهل يحق له ذلك ؟,حق العامل في الأجازة السنوية يتعلق بالنظام ولا يجوز له التنازل عنها صراحة أو ضمناً ويقابله التزام على صاحب العمل بمنحه تلك الأجازة وإلا التزم بتعويضه عما لم يحصل عليه منها,المصدر: الحكم رقم 523 لسنة  2020 بتاريخ  2021/05/26,"[73,74]"
10,اعمل لدى شركة بعقد عمل محدد المدة بمدة سنة ولكن لي الان سنتين و8 اشهر اعمل لديهم، فهل يعتبر عقدي الان أيضا محدد المدة؟ وفي هذه الحالة متى ينتهي؟,لما كان مفاد نص المادة 31 من القانون رقم 6 لسنة 2010 في شأن العمل في القطاع الأهلي – المنطبقة على الواقعة – أن عقد العمل المحدد المدة إذا استمر طرفاه في تنفيذه بعد انقضائه، يظل على طبيعته محدد المدة، ويعتبر في هذه الحالة مجدداً تلقائياً لمدة مماثلة للمدة الأولى المتفق عليها، أي أن العقد يجدد في كل مرة لذات المدة المتفق عليها طالما استمر طرفاه في تنفيذه، خلافاً لما كان عليه الوضع في ظل قانون العمل السابق رقم 38 لسنة 1964 الذي كان ينص صراحة في المادة 52 على إعتبار العقد مجدداً لمدة غير محددة إذا أن المشرع لو قصد أن يتحول العقد محدد المدة – باستمرار طرفاه في تنفيذه بعد انقضائه دون تجديد إلى عقد غير محدد المدة لأبقى على نص المادة 52 سالفاً البيان كما هي في قانون العمل الجديد دون تغيير، وهو ما يدل على نحو قاطع على أن المشرع عدل عن المبدأ السابق الذي كان منصوصاً عليه في القانون القديم، وقرر مبدأ جديداً هو أن عقد العمل محدد المدة يظل محدداً المدة بعد انقضائه طالما استمر طرفاه في تنفيذه، وهذا الأمر الذي يتفق مع الإرادة الضمنية لطرفي العقد المستفادة من استمرارهما في تنفيذ العقد بعد انقضائه دون تجديد برغبتهما في أن تظل علاقة العمل بينهما بذات الشروط المتفق عليها ومنها المدة,المصدر: الحكم رقم 2097 لسنة 2018 بتاريخ 2022/04/20,[31]
11,عملت لدى شركة بموجب عقد غير محدد المدة لمدة 3سنوات ثم اخبرتني الشركة انها ستعمل معي عقد جديد لتغيير بعض البنود فوقعت عقد جديد واستمريت في العمل لمدة 3 سنوات أخرى ثم أنهيت العقد بعد الإخطار . الشركة تقول ان مدة عملي هي 3 سنوات وعلى اساسها ستحسب نهاية الخدمة لان العقد الثاني استمر لمدة 3 سنوات رغم اني اعمل لديها لمدة 6 سنوات؟ فهل كلامها صحيح قانونا؟,ان المقرر – في قضاء هذه المحكمة – أن مكافأة نهاية الخدمة التي تستحق للعامل يتم احتسابها على أساس سنوات الخدمة دون النظر إلى مصدرها سواء كان عقد عمل واحد أو عقود متعددة ما دامت هذه المدة قد استمرت دون إنقطاع أو فاصل زمنى ولو تعددت عقود العمل المبرمة مع صاحب العمل وتعاقبت إلى أن انتهت خدمة العامل فعلاً,المصدر: الحكم رقم 1008 لسنة 2018 بتاريخ 2021/11/14 ,[51]
12,نحن شركة نعمل على اعداد عقد عمل مع احد الأشخاص الذي سيتولى منصب مهم براتب شهري عالي ونود ان تكون فترة الاخطار 6 شهور لكل طرف منا قبل انهاء العقد بدلا من 3 اشهر فهل هذه المدة جائزة قانونا؟,أن المقرر – في قضاء هذه المحكمة – أن النص في المادة 115 من القانون رقم 6 لسنة 2010 في شأن العمل في القطاع الأهلي على أن :. (1) يقع باطلاً كل شرط في عقد العمل الفردي أو عقود العمل الجماعية يخالف أحكام هذا القانون ولو كان سابقاً على تنفيذه مالم يكن الشرط أكثر فائدة للعامل.. ومؤدى هذه المادة – وعلى ما أفصحت عنه المذكرة الايضاحية – أنها وضعت ضمانه هامة وهى بطلان كل شرط في العقد إذا كان مخالفاً لأى حكم من أحكام مواد قانون العمل ولا يستثني من ذلك إلا الشروط التي تتضمن حقوقاً أو ميزات للعامل أفضل من تلك التي يتضمنها القانون كحد أدنى لحقوقهم ، كما يبطل كل شرط أو اتفاق أبرم قبل العمل بهذا القانون يتنازل بموجبه العامل عن أي حق من الحقوق التي يمنحها القانون، كما يقع باطلاً كل تصالح أو مخالصة تتضمن انقاصاً أو ابراءً من حقوق العامل الناشئة له بموجب عقد العمل خلال فترة سريانه أو ثلاثة أشهر من تاريخ انتهائه متى كانت مخالفة لأحكام هذا القانون ، وقد تضمنت المادة 44 من ذات القانون أنه إذا كان عقد العمل غير محدد المدة جاز لكل من طرفيه انهاؤه بعد إخطار الطرف الأخر ويكون الإخطار قبل انتهاء العقد بثلاثة أشهر على الأقل بالنسبة للعمال المعينين بأجر شهري فإذا لم يراع الطرف الذى انهى العقد مدة الاخطار فإنه يلتزم بأن يدفع للطرف الأخر مهلة الإخطار مساوياً لأجر العامل عن نفس المدة ، لما كان ذلك وكان المشرع في تنظيمه للعقود غير محددة المدة التي يتقاضى فيها العامل أجره شهرياً ارتأى أن مدة ثلاثة أشهر كافية حسب العرف السائد في تحقيق مصلحة العامل وصاحب العمل في تدبير شئونهم وهذا الأمر يعتبر قاعدة عامة مجرده أمرة لا يجوز للطرفين الاتفاق على مخالفتها لاتصالها بالنظام العام في تنظيم غايات أساسية في سوق العمل تعمد إلى الموازنة العادلة بين مصلحة العمال وحمايتهم من ناحية ومصلحة أصحاب الأعمال من ناحية أخرى ولا يسع الطاعنة القول أن في مخالفة مدة الاخطار بزيادة المنصوص عليه في المادة 44 من قانون العمل فيه مصلحة للطرفين ذلك أنه بزيادة مدة الإخطار فيه اضراراً للعامل حال رغبته ترك العمل لحصوله على فرصه أفضل في مكان أخر قد لا تتأتي بفوات أكثر من ثلاثة أشهر وعليه يكون شرط الاتفاق على مدة ستة أشهر باطل ابتداء ويرد إلى مدة ثلاثة أشهر إعمالاً لنص المادة 44 من قانون العمل الحديد,المصدر: الحكم رقم 1008 لسنة 2018 بتاريخ 2021/11/14 ,"[115,44]"
13,"اعمل لدى شركة وقد انتهت خدمتي لديهم . يقول لي محاسب الشركة ان 
ان المكافأة السنوية (البونص) المنصوص عليها في عقد العمل والتي تمنحها لي الشركة كل سنة عند تحقيقي الأرباح انها لن تحسب ضمن راتبي الذي تحسب على اساسه نهاية الخدمة فهل كلامه صحيح لان المادة 55 من قانون العمل تقول ان المكافأة السنوية  تعد من ضمن عناصر الاجر؟",من المقرر – في قضاء هذه المحكمة- أن المنح والمكافآت التي يمنحها صاحب العمل للعامل إضافة إلى أجرة الأساسي تعتبر في الأصل تبرعاً من صاحب العمل لا يلتزم بدفعها إلا إذا تحقق موجبها ولا يرتفع هذا الوصف عنها إلى الإلتزام بها إلا إذا التزم صاحب العمل بدفعها أو جرى العرف بمنحها ، ويتحقق العرف باعتياد صاحب العمل على منحها وأن يتوافر في الاعتياد شروط ثلاثة هي العموم والاستمرار والثبات وأن المكافأة السنوية – البونص – وإن أمكن بيان نسبتها والنص عليها في عقد العمل إلا أنها تبقى تبرعاً من صاحب العمل ما دام منحها أمراً خاضعاً لسلطته التقديرية ومن ثم فلا تضاف إلى عناصر الأجر الذي تحسب على أساس مكافأة نهاية الخدمة ، لما كان ذلك وكان استحقاق المطعون ضده للبونص الوارد بعقد العمل يتوقف على تحقيق الشركة أرباحاً ومن ثم فإن أمر منحها لا تتوافر فيه الشروط الثلاثة من العموم والاستمرار والثبات ولا يعد من عناصر الأجر الذي يحسب على أساسه مكافأة نهاية الخدمة,المصدر: الحكم رقم 145 لسنة 2018 بتاريخ 2019/03/25,[55]
14,موظف لدينا نقوم حاليا بتسوية وحساب مكافأة نهاية الخدمة له لانتهاء عقد عمله. كنا نعطيه بونص كل سنة من 2012 وحتى 2016 بسبب تحقيقه أرباح للشركة ولكن تختلف قيمتها من سنة لاخرى بحسب الأداء. هل نضيف البونص الى عناصر الاجر؟,ذلك أن المنحة أو المكافأة يجب أن يتوافر بها ركنين هما الاعتياد على صرفها والاعتقاد في إلزامها والاعتياد يتحقق بثلاثة شروط هي العموم والاستمرار وثبات القيمة ، وكان الثابت من الأوراق أن البونص ( محل المطالبة ) لم تقرر في عقد العمل أو لائحة الشركة الداخلية أو في اتفاق لاحق بين طرفي التداعي إن البين من شروط المنحة أنها تمنح لبعض العاملين لاعتبارات شخصية مرتبطة بالكفاءة في أداء العمل مثل الابتكارات والأفكار الخلاقة أو تحقيق ربح أو وفر الأموال أو القوى العاملة أو المواد والوقت والطاقة ، كما أن الثابت أيضاً بتقرير الخبير وإن كانت تصرف البونص بانتظام واستمرار من 2012 حتى 2016 إلا أن قيمته متغيرة وغير ثابتة ومن ثم فقد انتفى في البونص المطالبة به شروط منحه من العموم وثبات القيمة وبالتالي أصبح تبرعاً منها تعطيه أو تمنحه بلا إلزام عليها,المصدر: الحكم رقم 944 لسنة 2019 بتاريخ 2020/02/24 ,[55]
15,تفكر شركتنا بسبب الظروف المالية التي تمر بها ان تلغي ميزة ممنوحه للموظفين في اللائحة الداخلية. فهل يجوز لها ذلك قانونا؟,ذلك أن ما تضمنه القرار .. من ميزة للعاملين لا يجوز إلغائه من قبل الطاعنة باعتبار أنها ميزة تقررت للعاملين فلا يجوز سحبها من رب العمل ومن ثم يلزم بها رب العمل,المصدر: الحكم رقم 944 لسنة 2019 بتاريخ 2020/02/24,[6]
16,"انا موظف وقعت عقد عمل غير محدد المدة بتاريخ 1/7/1998 
ثم قامت الشركة بإنهاء عقد عملي في تاريخ 2/4/ 2017 بدون ان تعطيني اخطار مسبق. 
 فكم المبلغ الذي تلتزم الشركة بدفعه لي  كمقابل بدل إخطار علما بأن راتبي الشهري 7302 د.ك؟",وكان الثابت من عقد العمل المؤرخ 1/7/1998 أن مدته سنة واحدة وقابلة للتجديد لمدد مماثلة ما لم يخطر العامل أو الشركة كتابياً بعدم رغبته في التجديد قبل انتهاء العقد بمدة 3 أشهر فإنه يكون منذ بدايته عقد غير محدد المدة وكانت الطاعنة قد أنهت خدمة المطعون ضده اعتباراً من 2/4/2017 واعتبرت هذا اليوم هو أخر يوم عمل له دون مراعاة مهلة الإخطار المنصوص عليها قانوناً وكان راتب المطعون ضده 7302 د.ك ويستحق مبلغ 7302×3 أشهر=21906 كمقابل بدل إنذار ,المصدر: الحكم رقم 944 لسنة 2019 بتاريخ 2020/02/24 ,[44]